frame,t_sec,has_obs,n_joints,bodyHeight,head_p,head_x,head_y,head_z,cSho_p,cSho_x,cSho_y,cSho_z,lSho_p,lSho_x,lSho_y,lSho_z,rSho_p,rSho_x,rSho_y,rSho_z,lElb_p,lElb_x,lElb_y,lElb_z,rElb_p,rElb_x,rElb_y,rElb_z,lWri_p,lWri_x,lWri_y,lWri_z,rWri_p,rWri_x,rWri_y,rWri_z,lHip_p,lHip_x,lHip_y,lHip_z,rHip_p,rHip_x,rHip_y,rHip_z,root_p,root_x,root_y,root_z
102,4.254,1,11,1.8000,1,-0.0360,0.6623,0.0938,1,-0.0250,0.5494,0.0507,1,0.1425,0.5719,0.0886,1,-0.1912,0.5014,0.0436,1,0.4173,0.4564,0.1950,1,-0.4108,0.3057,0.1605,1,0.3464,0.6105,0.3752,1,-0.3898,0.4429,0.3654,1,0.1565,-0.0000,0.0000,1,-0.1565,-0.0000,0.0000,1,0.0000,0.0000,0.0000
105,4.379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,4.504,1,11,1.8000,1,-0.0552,0.6576,0.1059,1,-0.0405,0.5470,0.0583,1,0.1256,0.5777,0.0967,1,-0.2048,0.4926,0.0521,1,0.3854,0.4636,0.2368,1,-0.3989,0.2681,0.1620,1,0.3132,0.5984,0.4314,1,-0.3895,0.3987,0.3721,1,0.1565,-0.0000,0.0000,1,-0.1565,0.0000,-0.0000,1,0.0000,0.0000,0.0000
111,4.630,1,11,1.8000,1,-0.0640,0.6553,0.1108,1,-0.0486,0.5457,0.0613,1,0.1179,0.5759,0.0983,1,-0.2130,0.4914,0.0553,1,0.3912,0.4692,0.2169,1,-0.4035,0.2676,0.1727,1,0.3270,0.6076,0.4118,1,-0.3857,0.3948,0.3843,1,0.1565,0.0000,0.0000,1,-0.1565,-0.0000,-0.0000,1,0.0000,0.0000,0.0000
114,4.755,1,11,1.8000,1,-0.0293,0.6627,0.0937,1,-0.0190,0.5497,0.0507,1,0.1496,0.5663,0.0868,1,-0.1857,0.5035,0.0419,1,0.4298,0.4572,0.1857,1,-0.4034,0.3042,0.1560,1,0.3751,0.6125,0.3705,1,-0.3768,0.4429,0.3593,1,0.1565,-0.0000,-0.0000,1,-0.1565,0.0000,0.0000,1,0.0000,0.0000,0.0000
117,4.880,1,11,1.8000,1,0.0028,0.6685,0.0646,1,0.0059,0.5536,0.0260,1,0.1780,0.5505,0.0450,1,-0.1664,0.5362,0.0304,1,0.4604,0.4521,0.1488,1,-0.3890,0.3724,0.1846,1,0.4411,0.6475,0.2995,1,-0.2975,0.5236,0.3578,1,0.1565,0.0000,-0.0000,1,-0.1565,-0.0000,0.0000,1,0.0000,0.0000,0.0000
120,5.005,1,11,1.8000,1,-0.0781,0.6494,0.1253,1,-0.0604,0.5422,0.0714,1,0.1086,0.5566,0.1063,1,-0.2299,0.5063,0.0721,1,0.3662,0.5147,0.2852,1,-0.4423,0.3353,0.2327,1,0.2166,0.6380,0.4390,1,-0.3546,0.4448,0.4365,1,0.1565,0.0000,-0.0000,1,-0.1565,-0.0000,0.0000,1,0.0000,0.0000,0.0000
123,5.130,1,11,1.8000,1,-0.0537,0.6304,0.1769,1,-0.0438,0.5323,0.1062,1,0.1253,0.5368,0.1434,1,-0.2151,0.5076,0.1009,1,0.3796,0.4561,0.3136,1,-0.4578,0.3401,0.2159,1,0.3123,0.4938,0.5488,1,-0.3629,0.3893,0.4391,1,0.1565,0.0000,0.0000,1,-0.1565,-0.0000,-0.0000,1,0.0000,0.0000,0.0000
126,5.255,1,11,1.8000,1,-0.0599,0.5980,0.2293,1,-0.0527,0.5133,0.1427,1,0.1176,0.5088,0.1735,1,-0.2250,0.4962,0.1375,1,0.3907,0.3963,0.2874,1,-0.4762,0.3176,0.2096,1,0.4028,0.3088,0.5186,1,-0.3684,0.2873,0.4303,1,0.1565,-0.0000,-0.0000,1,-0.1565,0.0000,0.0000,1,0.0000,0.0000,0.0000
129,5.380,1,11,1.8000,1,-0.0834,0.5754,0.2542,1,-0.0819,0.4976,0.1610,1,0.0893,0.5115,0.1833,1,-0.2540,0.4864,0.1766,1,0.4048,0.5008,0.2053,1,-0.4729,0.2722,0.2567,1,0.5110,0.3601,0.3791,1,-0.3377,0.1557,0.4281,1,0.1565,0.0000,-0.0000,1,-0.1565,-0.0000,0.0000,1,0.0000,0.0000,0.0000
