frame,t_sec,total_joints,nose_conf,nose_x,nose_y,lSho_conf,lSho_x,lSho_y,rSho_conf,rSho_x,rSho_y,lElb_conf,lElb_x,lElb_y,rElb_conf,rElb_x,rElb_y,lWri_conf,lWri_x,lWri_y,rWri_conf,rWri_x,rWri_y,lHip_conf,lHip_x,lHip_y,rHip_conf,rHip_x,rHip_y
42,1.752,12,0.676,0.5260,0.4506,0.532,0.6339,0.1998,0.631,0.4293,0.1678,0.700,0.7675,0.2533,0.730,0.2557,0.1068,0.650,0.7310,0.5581,0.778,0.2910,0.3726,0.000,0.0000,1.0000,0.000,0.0000,1.0000
43,1.793,11,0.729,0.5186,0.4393,0.505,0.6352,0.1767,0.613,0.4288,0.1448,0.698,0.7635,0.2524,0.746,0.2563,0.1103,0.660,0.7298,0.5638,0.780,0.2914,0.3713,0.000,0.0000,1.0000,0.000,0.0000,1.0000
44,1.835,11,0.791,0.5220,0.4119,0.493,0.6406,0.1498,0.560,0.4271,0.1284,0.724,0.7575,0.2547,0.756,0.2580,0.1147,0.673,0.7291,0.5653,0.738,0.2937,0.3750,0.000,0.0000,1.0000,0.000,0.0000,1.0000
45,1.877,11,0.747,0.5240,0.3774,0.463,0.6327,0.1287,0.584,0.4323,0.1164,0.707,0.7527,0.2509,0.745,0.2594,0.1179,0.646,0.7288,0.5647,0.714,0.2959,0.3758,0.000,0.0000,1.0000,0.000,0.0000,1.0000
46,1.919,11,0.768,0.5249,0.3530,0.445,0.6322,0.1165,0.537,0.4319,0.0881,0.723,0.7474,0.2554,0.724,0.2618,0.1209,0.639,0.7278,0.5675,0.720,0.2984,0.3787,0.000,0.0000,1.0000,0.000,0.0000,1.0000
47,1.960,12,0.779,0.5249,0.3311,0.367,0.6337,0.0999,0.499,0.4341,0.0750,0.744,0.7430,0.2578,0.714,0.2638,0.1242,0.683,0.7268,0.5742,0.713,0.2992,0.3791,0.000,0.0000,1.0000,0.000,0.0000,1.0000
48,2.002,12,0.805,0.5252,0.3106,0.342,0.6311,0.0859,0.513,0.4410,0.0601,0.715,0.7386,0.2575,0.736,0.2662,0.1251,0.694,0.7273,0.5754,0.729,0.3008,0.3854,0.000,0.0000,1.0000,0.000,0.0000,1.0000
49,2.044,11,0.809,0.5256,0.2889,0.325,0.6239,0.0634,0.533,0.4446,0.0461,0.707,0.7363,0.2567,0.755,0.2699,0.1288,0.666,0.7274,0.5749,0.717,0.3025,0.3954,0.000,0.0000,1.0000,0.000,0.0000,1.0000
50,2.085,11,0.820,0.5259,0.2688,0.302,0.6296,0.0526,0.404,0.4495,0.0379,0.728,0.7341,0.2601,0.697,0.2763,0.1293,0.656,0.7270,0.5770,0.716,0.3037,0.3993,0.000,0.0000,1.0000,0.000,0.0000,1.0000
51,2.127,11,0.811,0.5263,0.2489,0.207,0.6314,0.0501,0.266,0.4526,0.0362,0.696,0.7313,0.2672,0.681,0.2803,0.1310,0.658,0.7268,0.5795,0.719,0.3040,0.3960,0.000,0.0000,1.0000,0.000,0.0000,1.0000
52,2.169,11,0.793,0.5273,0.2315,0.201,0.6253,0.0409,0.129,0.4506,0.0348,0.678,0.7280,0.2677,0.652,0.2869,0.1347,0.650,0.7267,0.5795,0.685,0.3044,0.3967,0.000,0.0000,1.0000,0.000,0.0000,1.0000
53,2.211,10,0.858,0.5279,0.2233,0.159,0.6233,0.0385,0.000,0.0000,1.0000,0.656,0.7255,0.2702,0.669,0.2896,0.1365,0.646,0.7264,0.5799,0.688,0.3065,0.3963,0.000,0.0000,1.0000,0.000,0.0000,1.0000
54,2.252,10,0.829,0.5266,0.2059,0.133,0.6282,0.0340,0.000,0.0000,1.0000,0.692,0.7224,0.2761,0.681,0.2935,0.1411,0.642,0.7260,0.5804,0.678,0.3080,0.3990,0.000,0.0000,1.0000,0.000,0.0000,1.0000
55,2.294,8,0.779,0.5268,0.1919,0.000,0.0000,1.0000,0.000,0.0000,1.0000,0.701,0.7203,0.2804,0.547,0.2986,0.1444,0.623,0.7262,0.5838,0.664,0.3107,0.4013,0.000,0.0000,1.0000,0.000,0.0000,1.0000
56,2.336,8,0.807,0.5257,0.1854,0.000,0.0000,1.0000,0.000,0.0000,1.0000,0.676,0.7193,0.2861,0.472,0.3032,0.1497,0.629,0.7260,0.5858,0.677,0.3137,0.4080,0.000,0.0000,1.0000,0.000,0.0000,1.0000
57,2.377,8,0.836,0.5272,0.1830,0.000,0.0000,1.0000,0.000,0.0000,1.0000,0.695,0.7182,0.2905,0.491,0.3091,0.1552,0.630,0.7257,0.5860,0.689,0.3147,0.4115,0.000,0.0000,1.0000,0.000,0.0000,1.0000
58,2.419,8,0.822,0.5276,0.1789,0.000,0.0000,1.0000,0.000,0.0000,1.0000,0.723,0.7166,0.2962,0.547,0.3127,0.1556,0.646,0.7261,0.5892,0.660,0.3162,0.4161,0.000,0.0000,1.0000,0.000,0.0000,1.0000
59,2.461,8,0.765,0.5288,0.1681,0.000,0.0000,1.0000,0.000,0.0000,1.0000,0.690,0.7149,0.2978,0.615,0.3166,0.1583,0.629,0.7263,0.5916,0.667,0.3180,0.4192,0.000,0.0000,1.0000,0.000,0.0000,1.0000
60,2.502,8,0.805,0.5311,0.1637,0.000,0.0000,1.0000,0.000,0.0000,1.0000,0.660,0.7129,0.2950,0.630,0.3200,0.1643,0.651,0.7265,0.5935,0.732,0.3194,0.4245,0.000,0.0000,1.0000,0.000,0.0000,1.0000
